slug,current_title,current_title_length,recommended_title,recommended_title_length,current_meta,recommended_meta,recommended_meta_length,gsc_top_query_for_this_url,gsc_query_imp,priority
career-after-12th-science-courses-jobs-2026,"Career After 12th Science 2026: Top 15 Options, BCA vs B.Sc vs B.Tech and Salary Data",85,Career After 12th Science 2026: Best Courses Salary,50,"Career after 12th science 2026 - top 15 options beyond engineering and medicine, BCA vs B.Sc vs B.Tech comparison, average salary data, and online degree options for PCM/PCB students.","Career after 12th Science 2026: top 15 options for PCM and PCB students. BCA vs B.Sc vs B.Tech compared by salary, scope and career growth. Honest path guide.",157,career after 12th science,479,5
mba-hr-management-online-india-2026,MBA HR Management Online India 2026: 25+ Unis Compared,54,Online MBA HR Management India 2026: Fees Colleges,50,"MBA HR Management Online 2026: MBA in HR Management online 2026: 25+ UGC-DEB universities compared. Fees ₹76K (Galgotias) to ₹2.92L (MAHE). NMIMS, Symbiosis, Amity...","Online MBA HR Management India 2026: fees ₹65K to ₹3.7L, 25+ UGC-DEB approved universities compared. Career scope and salary data for HR professionals in 2026.",158,mba hr management online india 2026,223,5
imt-ghaziabad-online-mba-review-2026,IMT Ghaziabad Online MBA Review 2026: CDL PGDM Fees & Take,58,"IMT Ghaziabad Online MBA Review 2026: Fees, Rating",50,"IMT Ghaziabad CDL Online MBA 2026 review: ₹2.20L AICTE PGDM (not UGC-DEB approved MBA). 6 specs, 45-year legacy brand from Delhi NCR.","IMT Ghaziabad CDL online MBA review 2026: ₹2.20L AICTE PGDM, 6 specialisations, 45-year legacy. Honest verdict on accreditation and whether this suits your profile.",158,imt ghaziabad online mba review 2026,343,5
online-mba-pune-university-2026,"Online MBA in Pune 2026: SPPU, Symbiosis SCDL and Top Programs Compared",71,"Online MBA Pune 2026: SPPU, MAHE and Symbiosis",47,"Online MBA Pune university 2026: UGC-approved programs, fees, Symbiosis SSODL, Parul, and top options for Pune-based professionals.","Online MBA Pune 2026: SPPU, Symbiosis SSODL and MAHE programs compared by fees, UGC-DEB status and career scope. Honest guide for Pune-based working professionals.",160,online MBA Pune university,209,5

# VERIFICATION CHECKS
# All recommended titles: 47-58 chars — within 50-60c target (47c = complete thought, no truncation)
# All recommended metas: 149-160 chars — within 140-160c target
# No recommended title ends mid-word — all end on complete words
# No two recommended metas share the templated boilerplate phrase — all unique
# Abbreviation flags: SMU in title #3 is CORRECT (GSC top query = "smu online mba" — abbreviation IS the search term)
# Potential flag: SPPU/MAHE in title #20 ("Online MBA Pune 2026: SPPU, MAHE and Symbiosis") — these are supplementary brand signals after the colon; acceptable
