slug,published_date,days_since_publish,age_bucket,inbound_link_count,estimated_impression_bracket,impression_note,in_sitemap,category_v1,category_v2,recommended_action,priority
mat-exam-2026-eligibility-pattern-dates,2026-04-04,53,15-60-days,2,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
cmat-exam-2026-guide-eligibility-pattern,2026-04-04,53,15-60-days,2,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
mba-entrance-exams-india-2026,2026-04-04,53,15-60-days,3,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
ugc-deb-approved-universities-list-2026,2026-04-04,53,15-60-days,17,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
mba-vs-pgdm-online-india-2026,2026-04-04,53,15-60-days,2,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-mba-salary-india-2026,2026-04-04,53,15-60-days,8,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-mba-lpu-review-2026,2026-04-04,53,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
distance-mba-bangalore-2026,2026-04-01,56,15-60-days,3,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-mba-delhi-ncr-2026,2026-04-03,54,15-60-days,3,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
mba-data-science-analytics-career-2026,2026-04-04,53,15-60-days,4,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-mba-for-freshers-india-2026,2026-04-04,53,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-mba-eligibility-criteria-india-2026,2026-04-04,53,15-60-days,5,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-mba-admission-process-india-2026,2026-04-04,53,15-60-days,3,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
mba-for-commerce-students-india-2026,2026-04-04,53,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
mba-scope-india-2026,2026-04-04,53,15-60-days,7,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-mba-government-employees-india-2026,2026-04-04,53,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
mba-international-business-career-2026,2026-04-04,53,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
distance-mba-chennai-2026,2026-04-04,53,15-60-days,3,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
distance-mba-hyderabad-2026,2026-04-04,53,15-60-days,2,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-executive-mba-india-2026,2026-04-04,53,15-60-days,2,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-executive-mba-iim-2026,2026-04-04,53,15-60-days,5,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
is-distance-mba-worth-it-india-2026,2026-04-04,53,15-60-days,6,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
distance-mba-colleges-mumbai-2026,2026-04-05,52,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
du-online-mba-delhi-university-2026,2026-04-05,52,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
mba-international-online-global-programs-2026,2026-04-05,52,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
top-online-mba-india-2026,2026-04-05,52,15-60-days,11,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
distance-mba-meaning-what-is-it-2026,2026-04-05,52,15-60-days,5,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
ma-distance-learning-india-2026,2026-04-05,52,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-mba-courses-chennai-2026,2026-04-05,52,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
top-correspondence-mba-colleges-india-2026,2026-04-05,52,15-60-days,3,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
correspondence-mba-meaning-2026,2026-04-05,52,15-60-days,3,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
icfai-online-mba-fees-2026,2026-04-05,52,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
icfai-distance-mba-2026,2026-04-05,52,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-mba-fee-comparison-india-2026,2026-04-05,52,15-60-days,6,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
jamia-hamdard-mba-2026,2026-04-05,52,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
is-mba-post-graduation-india-2026,2026-04-05,52,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
phd-full-form-doctorate-meaning-india,2026-04-08,49,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
14-principles-of-management-henri-fayol,2026-04-08,49,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
cat-exam-syllabus-2026-complete-guide,2026-04-09,48,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
career-objective-for-fresher-resume-examples,2026-04-09,48,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
best-computer-courses-after-12th-india-2026,2026-04-09,48,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
courses-after-12th-science-complete-list-2026,2026-04-09,48,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
iim-ranking-india-2026-all-iims-list,2026-04-10,47,15-60-days,6,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
ias-officer-salary-india-2026-pay-scale-perks,2026-04-10,47,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
cyber-security-salary-india-2026-career-guide,2026-04-10,47,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
investment-banking-career-india-salary-qualification,2026-04-10,47,15-60-days,2,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
arts-stream-jobs-career-options-salary-india,2026-04-10,47,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
commerce-jobs-list-salary-india-2026,2026-04-10,47,15-60-days,2,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
bsc-career-options-scope-salary-india-2026,2026-04-10,47,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
gd-topics-for-mba-2026-with-answers,2026-04-10,47,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
llm-course-duration-fees-scope-india-2026,2026-04-10,47,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-mca-course-india,2026-04-11,46,15-60-days,4,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
amity-online-mca-fees-review,2026-04-11,46,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
vignan-online-mba-review,2026-04-11,46,15-60-days,5,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
dsu-online-mba-review,2026-04-11,46,15-60-days,5,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
uu-doon-online-mba-review,2026-04-12,45,15-60-days,4,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
arka-jain-online-mba-review,2026-04-12,45,15-60-days,3,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
shoolini-online-mba-review,2026-04-12,45,15-60-days,5,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
dy-patil-online-mba-review,2026-04-12,45,15-60-days,2,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
chandigarh-university-online-mba-review,2026-04-12,45,15-60-days,3,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
jaypee-jiit-online-mba-review,2026-04-12,45,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
mba-full-form-course-details-eligibility-fees-2026,2026-04-26,31,15-60-days,3,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
bca-full-form-course-details-eligibility-fees-2026,2026-04-26,31,15-60-days,2,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
bba-full-form-course-details-eligibility-fees-2026,2026-04-26,31,15-60-days,2,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
mca-full-form-course-details-eligibility-fees-2026,2026-04-26,31,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
bcom-full-form-course-details-eligibility-fees-2026,2026-04-26,31,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
btech-full-form-course-details-eligibility-fees-2026,2026-04-26,31,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
bsc-full-form-course-details-eligibility-fees-2026,2026-04-26,31,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
ma-full-form-course-details-eligibility-fees-2026,2026-04-26,31,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
best-online-mba-colleges-india-2026,2026-05-10,17,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
is-online-mba-valid-india-2026,2026-05-10,17,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-mba-with-placement-india-2026,2026-05-10,17,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
amity-online-bba-fees-2026,2026-05-04,23,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
amity-online-bba-review-2026,2026-05-04,23,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
bits-pilani-online-mba-review-2026,2026-05-04,23,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-mba-aviation-management-india-2026,2026-05-04,23,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-mba-entrepreneurship-india-2026,2026-05-04,23,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-mba-event-management-india-2026,2026-05-04,23,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-mba-hospital-healthcare-management-india-2026,2026-05-04,23,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-mba-supply-chain-management-india-2026,2026-05-04,23,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
upes-online-mba-review-2026,2026-05-04,23,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
xlri-online-mba-review-2026,2026-05-04,23,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
amrita-online-bba-review-2026,2026-05-08,19,15-60-days,3,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
best-online-bba-colleges-india-2026,2026-05-08,19,15-60-days,5,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
lpu-online-bba-review-2026,2026-05-08,19,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
mahe-online-bba-review-2026,2026-05-08,19,15-60-days,3,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
nmims-online-bba-review-2026,2026-05-08,19,15-60-days,3,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-bba-fees-india-2026,2026-05-08,19,15-60-days,5,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-bba-india-2026,2026-05-08,19,15-60-days,5,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-mba-fintech-india-2026,2026-05-08,19,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-mba-hospitality-management-india-2026,2026-05-08,19,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-mba-logistics-management-india-2026,2026-05-08,19,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-mba-real-estate-management-india-2026,2026-05-08,19,15-60-days,0,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
symbiosis-online-bba-review-2026,2026-05-08,19,15-60-days,3,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
is-online-mba-worth-it-2026,2026-03-27,61,60plus-days,15,1-10,Has inbound links and 60+ days old; Google may have crawled but not ranked,yes,C,V2-C-STUCK,"Audit content depth and keyword focus. Add FAQPage schema. Build 2+ more inbound links.",2
how-to-choose-online-mba-university-india-2026,2026-03-27,61,60plus-days,2,1-10,Has inbound links and 60+ days old; Google may have crawled but not ranked,yes,C,V2-C-STUCK,"Audit content depth and keyword focus. Add FAQPage schema. Build 2+ more inbound links.",2
affordable-online-mba-india-2026,2026-03-27,61,60plus-days,21,1-10,Has inbound links and 60+ days old; Google may have crawled but not ranked,yes,C,V2-C-STUCK,"Audit content depth and keyword focus. Add FAQPage schema. Build 2+ more inbound links.",2
online-mba-for-working-professionals-india,2026-03-27,61,60plus-days,8,1-10,Has inbound links and 60+ days old; Google may have crawled but not ranked,yes,C,V2-C-STUCK,"Audit content depth and keyword focus. Add FAQPage schema. Build 2+ more inbound links.",2
is-online-degree-valid-india-2026,2026-03-20,68,60plus-days,4,1-10,Has inbound links and 60+ days old; Google may have crawled but not ranked,yes,C,V2-C-STUCK,"Audit content depth and keyword focus. Add FAQPage schema. Build 2+ more inbound links.",2
mba-after-engineering-india-2026,2026-03-22,66,60plus-days,3,1-10,Has inbound links and 60+ days old; Google may have crawled but not ranked,yes,C,V2-C-STUCK,"Audit content depth and keyword focus. Add FAQPage schema. Build 2+ more inbound links.",2
mba-finance-career-salary-scope-2026,2026-03-24,64,60plus-days,6,1-10,Has inbound links and 60+ days old; Google may have crawled but not ranked,yes,C,V2-C-STUCK,"Audit content depth and keyword focus. Add FAQPage schema. Build 2+ more inbound links.",2
mba-marketing-career-salary-jobs-2026,2026-03-28,60,60plus-days,1,1-10,Has inbound links and 60+ days old; Google may have crawled but not ranked,yes,C,V2-C-STUCK,"Audit content depth and keyword focus. Add FAQPage schema. Build 2+ more inbound links.",2

# SUMMARY
# Total invisible: 122
# Zero impressions (estimated): 114 (112 Category A + 2 Category B)
# 1-10 impressions (estimated): 8 (Category C - stuck with links)
# 11-100 impressions: 0
# 100+ impressions: 0
#
# Age breakdown of zero-impression blogs:
#   Last 14 days: 0
#   15-60 days: 112 (V2-A-FRESH: 104; V2-A-URGENT: 8)
#   60+ days: 2 orphans (amity-online-mba-hr-worth-it 428d; mba-hr-career-salary-scope-2026 62d)
#
# 60+ day blogs with zero inbound links (real indexation problem):
