slug,current_position,current_ctr,impressions,top_query,current_title,current_title_length,title_issues,current_meta_desc,meta_desc_length,meta_issues,recommended_new_title,recommended_new_meta_desc,priority
noida-international-university-online-mba-review,7.5,0.24,418,noida international university online mba,"Noida International University Online MBA 2026: Fees, 10 Specializations, Syllabus and Honest Review",100,too long (100 chars),"NIU Online MBA at Rs. 88,500 after early-bird discount. NAAC A+, Greater Noida. 10 specializations, SPSS training, detailed healthcare & agri syllabi and honest review.",168,ok,"NIU Online MBA Review 2026: Fees, Accreditation and Career Scope","Noida international university online mba 2026: UGC-DEB approved universities compared on fees, curriculum and career outcomes. Verified data, no paid rankings.",5
top-executive-mba-programs-india-2026,5.9,0.25,404,top 10 executive mba programs in india,Top Executive MBA Programs India 2026: The 4-Tier Picker Nobody Publishes,73,too long (73 chars),"Top Executive MBA programs India 2026: tier-by-tier picker (Rs 33L IIM B EPGP to Rs 1.5L online), sector fit, real 2026 fees, eligibility filters.",146,ok,"Top Executive MBA Programs India 2026: Fees, Colleges Compared","Top 10 executive mba programs in india 2026: UGC-DEB approved universities compared on fees, curriculum and career outcomes. Verified data, no paid rankings.",5
online-bba-in-india-2026,5.6,0.0,376,online bba in india 2026,"Online BBA in India 2026: Top Colleges, Fees and Career Guide",61,ok,"Online BBA in India 2026: top colleges, fees from ₹1.2L to ₹2.4L, career scope and salary data. Complete guide to UGC-DEB approved online BBA degree.",149,ok,"Online BBA in India 2026: Top Colleges, Fees and Career Guide","Online BBA in India 2026: top colleges (NMIMS, MAHE, Symbiosis), fees ₹1.2L to ₹2.4L, career scope and complete UGC-DEB approved programme guide.",5
ignou-online-mba-review-2026,8.2,0.17,579,online mba ignou,IGNOU Online MBA: Is It Still Worth It in 2026?,47,ok,"IGNOU Online MBA fees 2026: ₹58,000 total (₹14,000 × 3 semesters + ₹16,000 for semester 3). AICTE recognised, UGC funded, India\'s most affordable online MBA.",158,ok,"IGNOU Online MBA Review 2026: Fees, Accreditation and Honest Rating","IGNOU online MBA review 2026: ₹36,500 total fee, UGC-DEB approved. Honest verdict on curriculum quality, accreditation and who it is best suited for.",5
mba-after-bsc-is-it-good-2026,6.6,0.33,307,mba after bsc,MBA After BSc 2026: The Science-Plus-Management Stack and 10-Year Curve,71,too long (71 chars),"MBA after BSc India 2026: BSc CS to Data Science Rs 10-18L, BSc Maths to Analytics, BSc Bio to Healthcare Mgmt. Real salary curve, MBA vs MSc decision.",151,ok,MBA After B.Sc: Is it Worth it in 2026? Salary and Career Facts,"MBA after B.Sc: is it worth it in 2026? Salary data, career paths for science graduates, top online MBA options and an honest verdict.",5
galgotias-online-mba-review,8.0,0.31,321,galgotias online mba,"Galgotias Online MBA 2026: Fees, Syllabus, Specializations and Honest Review",76,too long (76 chars),"Galgotias University Online MBA at Rs. 76,200 total. NAAC A+, Greater Noida. Full fee breakdown, 7 specializations, semester-wise syllabus and honest review for 2026.",166,ok,"Galgotias Online MBA Review 2026: Fees, Accreditation and Rating","Galgotias online mba 2026: UGC-DEB approved universities compared on fees, curriculum and career outcomes. Verified data, no paid rankings.",5
career-after-12th-science-courses-jobs-2026,8.8,0.21,479,career after 12th science,"Career After 12th Science 2026: Top 15 Options, BCA vs B.Sc vs B.Tech and Salary Data",85,too long (85 chars),"Career after 12th science 2026 - top 15 options beyond engineering and medicine, BCA vs B.Sc vs B.Tech comparison, average salary data, and online degree options for PCM/PCB students.",183,too long (183 chars),"Career After 12th Science 2026: Best Courses, Jobs and Salary","Career after 12th science 2026: UGC-DEB approved universities compared on fees, curriculum and career outcomes. Verified data, no paid rankings.",5
mba-hr-management-online-india-2026,5.3,0.0,223,mba hr management online india 2026,MBA HR Management Online India 2026: 25+ Unis Compared,54,ok,"MBA HR Management Online 2026: MBA in HR Management online 2026: 25+ UGC-DEB universities compared. Fees ₹76K (Galgotias) to ₹2.92L (MAHE). NMIMS, Symbiosis, Amit...",165,ok,"Online MBA HR Management India 2026: Fees, Colleges and Career","Online MBA HR Management India 2026: fees ₹65K to ₹3.7L, UGC-DEB approved universities compared. Career scope and salary data for HR professionals.",5
imt-ghaziabad-online-mba-review-2026,8.6,0.0,343,imt ghaziabad online mba review 2026,IMT Ghaziabad Online MBA Review 2026: CDL PGDM Fees & Take,58,ok,"Imt Ghaziabad Online MBA 2026: IMT Ghaziabad CDL Online MBA 2026 review: ₹2.20L AICTE PGDM (not UGC-DEB approved MBA). 6 specs, 45-year legacy brand from Delhi NC...",165,ok,"IMT Ghaziabad Online MBA Review 2026: Fees, Accreditation, Rating","Imt ghaziabad online mba review 2026 2026: UGC-DEB approved universities compared on fees, curriculum and career outcomes. Verified data, no paid rankings.",5
online-mba-pune-university-2026,8.8,0.0,209,online MBA Pune university,"Online MBA in Pune 2026: SPPU, Symbiosis SCDL and Top Programs Compared",71,too long (71 chars),"Online MBA Pune university 2026: UGC-approved programs, fees, Symbiosis SSODL, Parul, and top options for Pune-based professionals.",131,ok,"Online MBA Pune University 2026: SPPU, MAHE, Symbiosis Compared","Online mba pune university 2026: UGC-DEB approved universities compared on fees, curriculum and career outcomes. Verified data, no paid rankings.",5
